RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,22,20,2,
2,G0rger,22,20,2,
3,Beesman,22,20,2,
4,BlockOG,25,21,4,
5,UnsignedRobin,34,24,10,
6,iota,34,24,10,
7,alexanderpas,34,24,10,
8,Pine,34,24,10,
9,Carl-ified,34,24,10,
10,CitrusMarmelade,34,24,10,
11,YukiYasai,34,24,10,
12,VaporGame,34,24,10,
13,al13n,34,24,10,
14,MegaIng,34,24,10,
15,[CrAzY]WC,34,24,10,
16,SunCat,34,24,10,
17,Arnavion,34,24,10,
18,Brawndo,34,24,10,
19,Moonj64,34,24,10,
20,WicketTVCDj2,34,24,10,
21,Legy,34,24,10,
22,Pr0st,34,24,10,
23,ente,34,24,10,
24,RealOfficialTurf,34,24,10,
25,Mockingbird,34,24,10,
26,DarthOrdo,34,24,10,
27,danielrab,34,24,10,
28,simonsays095,34,24,10,
29,pleegwat,34,24,10,
30,altrag,34,24,10,
31,san_skylak,34,24,10,
32,thompsotd,34,24,10,
33,Nari,34,24,10,
34,bmerry,34,24,10,
35,Endershadow,34,24,10,
36,Rartrin,34,24,10,
37,GinjaNinja32,34,24,10,
38,Gelthor,34,24,10,
39,ZeroFarad,34,24,10,
40,Kisse Mjolk,34,24,10,
41,Mayge,34,24,10,
42,Zarchonia,34,24,10,
43,Nulano,34,24,10,
44,Nick2oo2,34,24,10,
45,Pannoni,34,24,10,
46,梦想,34,24,10,
47,HowToCantaloupe,34,24,10,
48,OneOfTheChips,34,24,10,
49,yut23,34,24,10,
50,EPRORA,34,24,10,
51,kiseru,34,24,10,
52,Hinara,34,24,10,
53,Khorne Sanguine,34,24,10,
54,ScorpionGreen,34,24,10,
55,seconddifferential,34,24,10,
56,schadocalex,34,24,10,
57,alfabit,34,24,10,
58,mootmoot,34,24,10,
59,Chuck,34,24,10,
60,沈逍遥(Q群746497406),34,20,14,
61,Boomshroom,34,24,10,
62,Thism2,34,24,10,
63,sneaky.ruds,34,24,10,
64,Alter,34,24,10,
65,Wish,34,24,10,
66,FoxSlyme,34,24,10,
67,1547938354,34,24,10,
68,Mr Pebble,34,24,10,
69,Volatility,34,24,10,
70,c\_user,34,24,10,
71,chloe,34,24,10,
72,Quent,34,24,10,
73,Mizar,34,24,10,
74,Wanglemink Fannycourt,34,24,10,
75,AJ,34,24,10,
76,poopypants,34,24,10,
77,ButterSus,34,24,10,
78,Soso,34,24,10,
79,kubanvip,34,24,10,
80,Havenvik,34,24,10,
81,babycakesmittens,34,24,10,
82,Diggsey,34,24,10,
83,The Wind,34,24,10,
84,Tomnar,34,24,10,
85,Välling,34,24,10,
86,General,34,24,10,
87,martin,34,24,10,
88,Celforyon,34,24,10,
89,MicroBuilder,34,24,10,
90,Nefarious Zhen,34,24,10,
91,Mascote DDOS,34,24,10,
92,Fungi,34,24,10,
93,Fififionek,34,24,10,
94,grkt125,34,24,10,
95,sammyhawk,34,24,10,
96,hannah,34,24,10,
97,petermax,34,24,10,
98,lekkel124,34,24,10,
99,Cygwin231,34,24,10,
